time,icao24,lat,lon,velocity,altitude
1647265800,a193aa,42.97773743,-85.9397214,229.1309552,6972.3
1647265810,a193aa,42.98168118,-85.91387068,229.1309552,6972.3
1647265820,a193aa,42.9861145,-85.88478976,229.0264013,6972.3
1647265830,a193aa,42.99006058,-85.85887364,229.1309552,6972.3
1647265840,a193aa,42.99429683,-85.83127703,229.1309552,6972.3
1647265850,a193aa,42.99848654,-85.80381121,229.5302469,6972.3
1647265860,a193aa,43.00286865,-85.77473485,229.5302469,6972.3
1647265870,a193aa,43.00681939,-85.74887957,229.5302469,6972.3
1647265880,a193aa,43.01106262,-85.72069745,230.0341394,6972.3
1647265890,a193aa,43.01529189,-85.69257464,230.0341394,6972.3
1647265900,a193aa,43.01943504,-85.66497803,230.0341394,6972.3
1647265910,a193aa,43.0236969,-85.63683088,229.9311472,6972.3
1647265920,a193aa,43.02739547,-85.61194284,229.9311472,6972.3
1647265930,a193aa,43.03191104,-85.58192662,229.9311472,6972.3
1647265940,a193aa,43.0361473,-85.55341448,229.9311472,6972.3
1647265950,a193aa,43.03996458,-85.52791051,229.9311472,6972.3
1647265960,a193aa,43.04438782,-85.4984798,230.4353116,6972.3
1647265970,a193aa,43.04806467,-85.47369821,230.4353116,6972.3
1647265980,a193aa,43.05244446,-85.44431465,230.9395213,6972.3
1647265990,a193aa,43.05630441,-85.41824341,230.9395213,6972.3
1647266000,a193aa,43.06018066,-85.39219346,230.4353116,6972.3
1647266010,a193aa,43.06462097,-85.36223656,230.4353116,6972.3
1647266020,a193aa,43.0690155,-85.33227965,230.8380795,6972.3
